id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
russb001,0,1,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
joshv101,0,2,7,5,5,2,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0
pacit001,0,3,8,5,3,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0
garvs001,0,4,3,5,5,4,0,3,4,0,3,0,0,1,0,0,0,0,0,0,0,0
buckb001,0,5,9,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hougc001,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fergj101,0,5,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeags001,0,6,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cey-r001,0,6,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
roysj001,0,7,5,4,4,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0
mcmuk101,0,7,11,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
rau-d101,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacyl001,0,8,4,3,3,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
fairj102,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loped001,0,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downa101,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shang101,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daviw102,0,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
soloe101,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craww101,0,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perem101,1,1,6,6,5,3,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
lum-m101,1,2,9,6,6,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
evand001,1,3,5,6,6,3,0,2,2,1,2,0,0,1,0,0,0,0,1,0,0,0
aaroh101,1,4,7,6,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
baked002,1,5,8,5,4,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
johnd105,1,6,4,5,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
dietd101,1,7,3,4,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tepef101,1,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casap101,1,8,2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schur101,1,9,1,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
harrr102,1,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
niekj001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
